丆	⿱一丿
偹	⿲亻丨备
偺	⿰亻昝
偻	⿰亻娄
偼	⿰亻⿳⺊𫜹龰
偾	⿰亻贲
偿	⿰亻尝
傂	⿰亻虒
傇	⿰亻茸
傉	⿰亻⿸辰寸
傋	⿰亻冓
傌	⿰亻馬
傗	⿰亻畜
傝	⿰亻𦐇
傤	⿰亻载
傥	⿰亻党
傦	⿰亻骨
傧	⿰亻宾
储	⿰亻诸
傩	⿰亻难
傫	⿰亻累
傮	⿰亻曹
傶	⿰亻戚
傸	⿰亻爽
傼	⿰亻𦰩
傿	⿰亻焉
僁	⿰亻悉
僆	⿰亻連
僈	⿰亻曼
僋	⿰亻貪
僒	⿰亻窘
僗	⿰亻勞
僛	⿰亻欺
僠	⿰亻番
僪	⿰亻矞
僫	⿰亻惡
僬	⿰亻焦
僰	⿱棘人
僴	⿰亻間
僷	⿰亻葉
僸	⿰亻禁
僼	⿰亻豊
僽	⿰亻愁
僿	⿰亻塞
儅	⿰亻當
儊	⿰亻楚
儏	⿰亻粲
儑	⿰亻㬎
儓	⿰亻臺
儠	⿰亻巤
儢	⿰亻慮
儤	⿰亻暴
儥	⿰亻賣
儦	⿰亻麃
儩	⿰亻賜
儫	⿰亻豪
儮	⿰亻歷
儰	⿰亻蔿
儶	⿰亻巂
儽	⿰亻纍
儾	⿰亻囊
兑	⿱丷兄
兖	⿱亠兊
兙	⿺克十
兛	⿺克千
兝	⿺克分
兞	⿺克毛
兡	⿺克百
兣	⿺克厘
內	⿻冂入
兯	⿱丷𰆊
兰	⿱丷三
兲	⿱王八
兴	⿳𭕄一八
兹	⿱䒑𢆶
兺	⿱分𫜸
兽	⿱𬎿𠮛
兿	⿳䒑执云
冁	⿰单展
冇	⿸𠂇冂
冈	⿵冂㐅
冔	⿱冃吁
冚	⿱冖山
军	⿱冖车
农	⿻冖𧘇
冞	⿱冖米
冟	⿱冖皀
冧	⿱冖林
冮	⿰冫工
冯	⿰冫马
冹	⿰冫犮
冻	⿰冫东
净	⿰冫争
凁	⿰冫束
凇	⿰冫松
凎	⿰冫金
凐	⿰冫垔
凔	⿰冫倉
凗	⿰冫崔
凙	⿰冫睪
凚	⿰冫禁
凟	⿰冫賣
凣	⿱丨几
凤	⿵𠘨又
凨	⿵𠘨云
凫	⿹？几
凬	⿵𠘨𣄼
凯	⿰岂几
击	⿱𰀁凵
凼	⿶凵水
凿	⿶凵丵
刉	⿰乞刂
刌	⿰寸刂
刍	⿱⺈𫜹
刏	⿰气刂
刐	⿰丹刂
则	⿰贝刂
刚	⿰冈刂
创	⿰仓刂
刜	⿰弗刂
刞	⿰且刂
刟	⿰召刂
删	⿰册刂
刡	⿰民刂
刣	⿰台刂
刦	⿰去刂
别	⿰另刂
刬	⿰戋刂
刭	⿰𢀖刂
刯	⿰亘刂
刴	⿰朶刂
刽	⿰会刂
刾	⿰夹刂
刿	⿰岁刂
剀	⿰岂刂
剁	⿰朵刂
剂	⿰齐刂
剆	⿰？刂
剈	⿰肙刂
剎	⿰𣏂刂
剐	⿰呙刂
剑	⿰佥刂
剒	⿰昔刂
剓	⿱𥝢刀
剙	⿰并刅
剢	⿰豖刂
剧	⿰居刂
剨	⿰砉刂
剫	⿰度刂
剭	⿰屋刂
剶	⿰彖刂
剺	⿸𠩺刀
剻	⿰崩刂
剼	⿰參刂
剾	⿰區刂
劁	⿰焦刂
劆	⿰廉刂
劋	⿰喿刂
劎	⿰僉刀
劏	⿰當刂
劐	⿰蒦刂
劙	⿰蠡刂
劝	⿰又力
办	⿻力八
务	⿱夂力
劢	⿰万力
动	⿰云力
劮	⿰失力
劲	⿰𢀖力
劳	⿱𫇦力
势	⿱执力
勂	⿰告力
勋	⿰员力
勎	⿰坴力
勓	⿰皆力
勚	⿰贳力
勫	⿰番力
勭	⿰童力
勮	⿰豦力
勯	⿰亶力
勼	⿹勹九
勽	⿹勹人
匄	⿹勹亡
匉	⿹勹平
匎	⿹勹奄
匒	⿹勹荅
匔	⿹勹躳
匢	⿷匚勿
匦	⿷匚轨
匮	⿷匚贵
匴	⿷匚算
匶	⿷匚舊
匷	⿷匚瞿
卄	⿻一⿰丨丨
华	⿱化十
协	⿰十办
卐	⿾卍
单	⿱丷⿻甲一
卖	⿱十买
卝	⿰⿾⺊⺊
卟	⿰口卜
卢	⿱⺊尸
卤	⿱⺊龱
卨	⿱⺊咼
卪	⿻卩丶
卫	⿱𰆊一
卶	⿰多卩
卼	⿺兀危
厀	⿰桼卩
厁	⿱斜𰆊
厅	⿸厂丁
历	⿸厂力
厉	⿸厂万
厊	⿸厂牙
压	⿸厂圡
厌	⿸厂犬
厍	⿸厂车
厏	⿸厂乍
厐	⿸厂龙
厑	⿸厂𫜸
厒	⿸厂缶
厕	⿸厂则
厗	⿸厂辛
厛	⿸厂听
厜	⿸厂垂
厞	⿸厂非
厢	⿸厂相
厣	⿸厌甲
厧	⿸厂真
厬	⿸厂晷
厱	⿸厂僉
厹	⿱九厶
厼	⿱厶小
厾	⿹⺄去
县	⿱且厶
叁	⿳厶大三
叄	⿱厽⿱𠆢三
叆	⿰云爱
叇	⿰云逮
叐	⿱㇒友
发	⿺⿸⿻𠃋丿又丶
变	⿱𰁜又
叜	⿱宀𤆌
叹	⿰口又
叻	⿰口力
叼	⿰口刁
叽	⿰口几
叾	⿱了口
叿	⿰口工
吀	⿰口千
吅	⿰口口
吆	⿰口幺
吇	⿰口子
吔	⿰口也
吕	⿱口口
吖	⿰口丫
吗	⿰口马
吘	⿰口午
吙	⿰口火
吜	⿰口丑
吢	⿱心口
吣	⿰口心
吥	⿰口不
吰	⿰口厷
吲	⿰口引
吳	⿺⿱𠃑大口
吷	⿰口夬
吺	⿰口殳
吿	⿱牛口
呁	⿰口匀
呅	⿰口文
呋	⿰口夫
呌	⿰口斗
呐	⿰口内
呒	⿰口无
呓	⿰口艺
呔	⿰口太
呖	⿰口历
呗	⿰口贝
员	⿱口贝
呙	⿱口内
呚	⿰口攵
呛	⿰口仓
呜	⿰口乌
呝	⿰口戹
呠	⿰口本
呡	⿰口民
呣	⿰口母
呥	⿰口冉
呯	⿰口平
呲	⿰口此
呸	⿰口丕
呹	⿰口失
呺	⿰口号
呾	⿰口旦
咂	⿰口匝
咇	⿰口必
咓	⿰口瓦
咔	⿰口卡
咗	⿰口左
咘	⿰口布
咙	⿰口龙
咚	⿰口冬
咛	⿰口宁
咝	⿰口丝
咞	⿰口开
咣	⿰口光
咰	⿰口旬
咴	⿰口灰
咵	⿰口夸
咶	⿰口舌
哅	⿰口匈
哋	⿰口地
哌	⿰口𠂢
哏	⿰口艮
哐	⿰口匡
哑	⿰口亚
哒	⿰口达
哓	⿰口尧
哔	⿰口毕
哕	⿰口岁
哖	⿰口年
哗	⿰口华
哙	⿰口会
哚	⿰口朵
哛	⿱𫜸分
哜	⿰口齐
哝	⿰口农
哞	⿰口牟
哟	⿰口约
哣	⿰口豆
哤	⿰口尨
哧	⿰口赤
哫	⿰口足
哰	⿰口牢
哴	⿰口良
哵	⿰口别
哷	⿰口寽
哸	⿰口妥
哹	⿰口孚
哻	⿰口旱
唂	⿰口谷
唃	⿰口角
唊	⿰口夾
唋	⿰口余
唑	⿰口坐
唒	⿰口酉
唓	⿰口車
唗	⿰口走
唘	⿱⿰石又口
唙	⿰口狄
唚	⿰口𠬶
唛	⿰口麦
唜	⿱末𫜸
唝	⿰口贡
唞	⿰口抖
唟	⿱去𫜸
唠	⿰口劳
唡	⿰口两
唢	⿰口𭕆
唣	⿰口皂
唤	⿰口奂
唥	⿰口冷
唦	⿰口沙
唧	⿰口即
唨	⿰口阻
唩	⿰口委
唬	⿰口虎
唭	⿰口其
唰	⿰口刷
唴	⿰口羌
唷	⿰口育
唺	⿰口典
唿	⿰口忽
啂	⿰口乳
啃	⿰口肯
啈	⿰口幸
啋	⿰口采
啎	⿰午吾
啒	⿰口屈
啔	⿱𫼉口
啕	⿰口匋
啙	⿱此吅
啟	⿰启攵
啢	⿰口兩
啥	⿰口舍
啧	⿰口责
啨	⿰口青
啩	⿰口卦
啪	⿰口拍
啫	⿰口者
啬	⿱⿻土丷回
啭	⿰口转
啮	⿰口齿
啯	⿰口国
啰	⿰口罗
啱	⿰口岩
啲	⿰口的
啳	⿰口卷
啴	⿰口单
啵	⿰口波
啶	⿰口定
啷	⿰口郎
啸	⿰口肃
啹	⿰口居
啺	⿰口昜
喅	⿰口昱
喌	⿱吅州
喍	⿰口柴
喐	⿰口郁
喕	⿰口面
喖	⿰口枯
喛	⿰口爰
喠	⿰口重
喡	⿰口韋
喢	⿰口臿
喥	⿰口度
喦	⿵品山
喯	⿰口奔
喱	⿰口厘
喳	⿰口查
喴	⿰口威
喵	⿰口苗
喷	⿰口贲
喸	⿱甫𫜸
喹	⿰口奎
喺	⿰口係
喻	⿰口俞
喼	⿰口急
喽	⿰口娄
喾	⿱𰃮告
嗀	⿰𫯁殳
嗂	⿰口䍃
嗈	⿰口邕
嗊	⿰口貢
嗍	⿰口朔
嗏	⿰口茶
嗐	⿰口害
嗕	⿰口⿸辰寸
嗖	⿰口叟
嗙	⿰口旁
嗠	⿰孚各
嗡	⿰口翁
嗥	⿰口皋
嗦	⿰口索
嗧	⿱加侖
嗨	⿰口海
嗪	⿰口秦
嗫	⿰口聂
嗬	⿰口荷
嗭	⿱直𫜸
嗮	⿰口晒
嗯	⿰口恩
嗰	⿰口個
嗱	⿰口拿
嗲	⿰口爹
嗳	⿰口爱
嗴	⿰口羗
嗵	⿰口通
嗸	⿱敖口
嗺	⿰口崔
嗻	⿰口庶
嗼	⿰口莫
嘀	⿰口啇
嘁	⿰口戚
嘂	⿲吕丩吕
嘃	⿰口庸
嘄	⿰口梟
嘋	⿰口教
嘌	⿰口票
嘓	⿰口國
嘕	⿰口焉
嘚	⿰口得
嘜	⿰口麥
嘝	⿰口斛
嘞	⿰口勒
嘟	⿰口都
嘠	⿰口戞
嘡	⿰口堂
嘢	⿰口野
嘣	⿰口崩
嘤	⿰口婴
嘥	⿰口徙
嘦	⿱只要
嘧	⿰口密
嘪	⿰口買
嘫	⿰口然
嘭	⿰口彭
嘮	⿰口勞
嘺	⿰口喬
嘾	⿰口覃
噅	⿰口爲
噈	⿰口就
噊	⿰口矞
噑	⿰口皐
噒	⿰口粦
噕	⿱爲口
噖	⿰口琴
噗	⿰口菐
噘	⿰口厥
噙	⿰口禽
噚	⿰口尋
噜	⿰口鲁
噝	⿰口絲
噟	⿸䧹口
噥	⿰口農
噧	⿰口萬
噮	⿰口睘
噰	⿰口雍
噳	⿰口虞
噷	⿰口歆
噹	⿰口當
噻	⿰口塞
噼	⿰口辟
噽	⿰喜丕
噾	⿰口窨
噿	⿰口翠
嚁	⿰口翟
嚂	⿰口監
嚃	⿰口遝
嚉	⿰口對
嚍	⿰口盡
嚎	⿰口豪
嚐	⿰口嘗
嚑	⿰口熏
嚒	⿰口麼
嚓	⿰口察
嚖	⿰口慧
嚗	⿰口暴
嚘	⿰口憂
嚛	⿰口樂
嚜	⿰口墨
嚡	⿰口鞋
嚣	⿳吅页吅
嚤	⿰口摩
嚪	⿰口閻
嚯	⿰口霍
嚰	⿰口磨
嚵	⿰口毚
嚸	⿰口點
嚹	⿰口罅
嚺	⿰口⿺辶⿱罒㒸
嚻	⿲吕頁吕
嚽	⿰口贅
嚿	⿰口舊
囄	⿰口離
囆	⿰口蠆
囇	⿰口麗
囒	⿰口蘭
囔	⿰口囊
囕	⿰口覽
囖	⿰口籮
团	⿴囗才
囩	⿴囗云
囪	⿱㇒⿴囗⿻𰀪丶
囬	⿴囗⿴⿰丨丨𠄠
囯	⿴囗王
围	⿴囗韦
囵	⿴囗仑
囸	⿴囗正
囻	⿴囗民
囼	⿴囗台
图	⿴囗冬
圅	⿱龴⿴囗𢆉
圆	⿴囗员
圎	⿴囗貟
圐	⿴囗𬙙
圔	⿴囗盍
圗	⿴囗⿱𠫘囬
圙	⿴𡆦面
圞	⿴囗欒
圫	⿰土乇
圱	⿰⿻⿱㇒一丿土
圲	⿰土千
圵	⿰土上
圶	⿱大土
圹	⿰土广
场	⿰土𠃓
圼	⿱日土
坁	⿰土氏
坃	⿰土元
坄	⿰土殳
坈	⿰土冗
坉	⿰土屯
坋	⿰土分
坓	⿱井土
坔	⿱水土
坕	⿱爪土
坖	⿱元土
块	⿰土夬
坘	⿰土互
坙	⿳一巛土
坚	⿱𰀡土
坛	⿰土云
坜	⿰土历
坝	⿰土贝
坞	⿰土乌
坟	⿰土文
坠	⿱队土
坣	⿱龸土
坬	⿰土瓜
坲	⿰土弗
坶	⿰土母
坸	⿰土句
坽	⿰土令
垀	⿰土乎
垄	⿱龙土
垅	⿰土龙
垆	⿰土卢
垇	⿰土凹
垊	⿰土民
垍	⿰土自
垎	⿰土各
垏	⿰土聿
垐	⿱次土
垑	⿰土多
垒	⿱厽土
垖	⿰土𠂤
垘	⿰土伏
垛	⿰土朵
垥	⿰土合
垦	⿱艮土
垫	⿱执土
垭	⿰土亚
垮	⿰土夸
垯	⿰土达
垱	⿰土当
垲	⿰土岂
垴	⿰土㐫
垵	⿰土安
垶	⿰土辛
垷	⿰土見
垹	⿰土邦
垺	⿰土孚
垻	⿰土貝
垼	⿱役土
垾	⿰土旱
垿	⿰土序
埁	⿰土岑
埂	⿰土更
埄	⿰土夆
埅	⿱防土
埉	⿰土夾
埊	⿱汖土
埍	⿰土肙
埐	⿰土𠬶
埑	⿱折土
埘	⿰土时
埙	⿰土员
埚	⿰土呙
埛	⿰土冏
埢	⿰土卷
埥	⿰土青
埨	⿰土侖
埪	⿰土空
埫	⿰土尚
埬	⿰土東
埮	⿰土炎
埯	⿰土奄
埱	⿰土叔
埲	⿰土奉
埳	⿰土臽
堁	⿰土果
堇	⿱廿⿻口龶
堎	⿰土夌
堏	⿱枋土
堐	⿰土厓
堑	⿱斩土
堒	⿰土昆
堓	⿰土岸
堔	⿰土罙
堖	⿰土𡿺
堗	⿰土突
堘	⿰土⿱龹土
堚	⿰土軍
堜	⿰土柬
堢	⿰土保
堣	⿰土禺
堥	⿱敄土
堨	⿰土曷
堩	⿰土恆
堫	⿰土㚇
堬	⿰土俞
堮	⿰土咢
堳	⿰土眉
堶	⿰土⿱左⺝
堷	⿰土音
堸	⿰土風
堻	⿱津土
堼	⿱封土
堾	⿰土春
塂	⿰土巷
塃	⿰土荒
塄	⿰土𬙙
塅	⿰土段
塆	⿰土弯
塇	⿰土宣
塈	⿱既土
塎	⿰土容
塓	⿰土冥
塖	⿰土乘
塛	⿰土栗
塜	⿰土冡
塝	⿰土旁
塠	⿰土追
塣	⿱浧土
塥	⿰土鬲
塦	⿱陣土
塪	⿰土舀
塬	⿰土原
塭	⿰土昷
塮	⿰土射
塯	⿰土留
塱	⿱朗土
塳	⿰土逢
塴	⿰土崩
塶	⿰土鹿
塷	⿰土鹵
塺	⿸麻土
塻	⿰土莫
塽	⿰土爽
墂	⿰土票
墄	⿰土戚
墆	⿰土帶
墎	⿰土郭
墑	⿰土啇
墒	⿰土商
墕	⿰土焉
墘	⿰土乾
墙	⿰土啬
墚	⿰土梁
墛	⿰土尉
墣	⿰土菐
墤	⿰土貴
墥	⿰土童
墧	⿰土喬
墬	⿱䧘土
墭	⿰土盛
墯	⿱惰土
墰	⿰土覃
墴	⿰土黄
墵	⿰土雲
墶	⿰土達
墷	⿰土華
墽	⿰土敫
墿	⿰土睪
壀	⿰土辟
壆	⿱𦥯土
壉	⿰土豦
壋	⿰土當
壏	⿰土監
壛	⿰土閻
壣	⿰土聯
壦	⿰土雚
壧	⿰土嚴
壨	⿱𤳳土
壪	⿰土彎
壭	⿱士𰆊
壵	⿱士⿰士士
壶	⿱⿱士冖业
壸	⿱⿱士冖亚
壾	⿰壴巨
壿	⿰士尊
夀	⿱⿻⿱𠄟乛𠀐吋
夁	⿱士䍛
夃	⿵乃又
处	⿺夂卜
备	⿱夂田
夈	⿱夂米
夎	⿱坐夊
夑	⿱⿲火言火夊
夗	⿰夕㔾
夞	⿱外𫜸
够	⿰句多
夠	⿰多句
夦	⿰甚多
头	⿻⺀大
夹	⿻夫丷
夺	⿱大寸
夻	⿱大口
夼	⿱大川
奀	⿱不大
奁	⿱大区
奂	⿳⺈冂大
奅	⿱大卯
奊	⿺夨圭
奋	⿱大田
奌	⿱占大
奍	⿱龹⿰丿丨
奖	⿱⿰丬夕大
奜	⿱非大
奤	⿱大面
奦	⿱務大
奰	⿱𦋹大
奱	⿱䜌大
奷	⿰女千
奺	⿰女久
奾	⿰女山
奿	⿺丸女
妀	⿰己女
妅	⿰女工
妆	⿰丬女
妇	⿰女𫜹
妈	⿰女马
妉	⿰女冘
妏	⿰女文
妐	⿰女公
妑	⿰女巴
妔	⿰女亢
妘	⿰女云
妚	⿰女不
妜	⿰女夬
妞	⿰女丑
妠	⿰女内
妡	⿰女斤
妢	⿰女分
妦	⿰女丰
妩	⿰女无
妪	⿰女区
妫	⿰女为
妱	⿰女召
妴	⿱夗女
妵	⿰女主
妶	⿰女玄
妸	⿰女可
妽	⿰女申
妿	⿱加女
姀	⿰女禾
姂	⿰女乏
姅	⿰女半
姇	⿱付女
姌	⿰女冉
姎	⿰女央
姏	⿰女甘
姕	⿱此女
姖	⿰女巨
姗	⿰女册
姘	⿰女并
姛	⿰女同
姠	⿰女向
姡	⿰女舌
姢	⿰女䏍
姩	⿰女年
姬	⿰女𦣞
姭	⿱劦女
姰	⿰女旬
姳	⿰女名
姵	⿰女𫥞
姹	⿰女宅
姺	⿰女先
姼	⿰女多
姽	⿰女危
姾	⿰女全
娂	⿰女共
娅	⿰女亚
娆	⿰女尧
娇	⿰女乔
娈	⿱𰁜女
娊	⿰女見
娋	⿰女肖
娏	⿰女尨
娐	⿰女孚
娔	⿰女克
娕	⿰女束
娖	⿰女足
娙	⿰女巠
娛	⿰女吳
娝	⿰女否
娡	⿰女志
娢	⿰女含
娦	⿰女兵
娫	⿰女延
娬	⿰女武
娮	⿰女言
娱	⿰女吴
娲	⿰女呙
娳	⿰女利
娴	⿰女闲
娷	⿰女垂
娸	⿰女其
娹	⿰女弦
娺	⿰女叕
娻	⿰女東
娽	⿰女录
娾	⿰女厓
娿	⿱阿女
婂	⿰女帛
婃	⿰女宗
婊	⿰女表
婋	⿰女虎
婍	⿰女奇
婎	⿰女隹
婏	⿰女兔
婑	⿰女委
婒	⿰女炎
婓	⿱非女
婔	⿰女非
婖	⿰女忝
婗	⿰女兒
婘	⿰女卷
婙	⿰女争
婛	⿰女京
婜	⿱臤女
婝	⿰女定
婟	⿰女固
婠	⿰女官
婡	⿰女來
婤	⿰女周
婨	⿰女侖
婩	⿰女岸
婫	⿰女昆
婮	⿰女居
婯	⿱⿰⿱一⿵冂丶⿱一⿵冂丶女
婰	⿰女典
婱	⿱弦女
婲	⿰女花
婳	⿰女画
婴	⿱𲂻女
婵	⿰女单
婶	⿰女审
婸	⿰女昜
婹	⿰女要
婼	⿰女若
婽	⿰女叚
媀	⿰女禺
媁	⿰女韋
媂	⿰女帝
媃	⿰女柔
媅	⿰女甚
媆	⿰女耎
媇	⿰女亲
媈	⿰女軍
媉	⿰女屋
媊	⿰女前
媌	⿰女苗
媍	⿰女負
媎	⿰女者
媏	⿰女耑
媑	⿰女重
媔	⿰女面
媕	⿰女弇
媗	⿰女宣
媘	⿰女皆
媝	⿱秋女
媡	⿰女柬
媣	⿰女染
媤	⿰女思
媥	⿰女扁
媦	⿰女胃
媨	⿰女酋
媩	⿰女胡
媪	⿰女昷
媫	⿰女⿳⺊𫜹龰
媭	⿱须女
媮	⿰女俞
媯	⿰女為
媰	⿰女芻
媴	⿰女袁
媶	⿰女茸
媷	⿰女⿸辰寸
媹	⿰女留
嫀	⿰女秦
嫃	⿰女真
嫅	⿰女差
嫇	⿰女冥
嫊	⿰女素
嫍	⿰女舀
嫎	⿰女旁
嫑	⿱不要
嫒	⿰女爱
嫓	⿰女⿱⿱⺈⿵冂人比
嫔	⿰女宾
嫕	⿰女悘
嫘	⿰女累
嫙	⿰女旋
嫛	⿱殹女
嫝	⿰女康
嫞	⿰女庸
嫟	⿰女匿
嫢	⿱規女
嫤	⿰女堇
嫧	⿰女責
嫨	⿰女𦰩
嫫	⿰女莫
嫬	⿰女庶
嫭	⿰女虖
嫯	⿱敖女
嫱	⿰女啬
嫲	⿰女麻
嫳	⿱敝女
嫴	⿰女辜
嫷	⿰女隋
嫸	⿰女善
嫹	⿰女黄
嫼	⿰女黑
嫾	⿰女粦
嫿	⿰女畫
嬂	⿰女戠
嬃	⿱須女
嬄	⿰女壹
嬅	⿰女華
嬆	⿰女翕
嬇	⿰女貴
嬊	⿳廿⿴北口女
嬍	⿰女𢽠
嬎	⿰女⿺免生
嬏	⿰女番
嬐	⿰女僉
嬑	⿰女意
嬒	⿰女會
嬓	⿰女敫
嬔	⿰女⿺兔生
嬕	⿰女睪
嬘	⿰女遂
嬚	⿰女廉
嬜	⿱歆女
嬞	⿰女董
嬟	⿰女義
嬠	⿰女喿
嬣	⿰女寧
嬤	⿰女麼
嬦	⿰女壽
嬧	⿰女盡
嬨	⿰女慈
嬩	⿰女與
嬫	⿰女榮
嬮	⿸厭女
嬯	⿰女臺
嬱	⿱漸女
嬳	⿰女蒦
嬵	⿰女綿
嬷	⿰女麽
嬹	⿰女興
嬺	⿰女慝
嬻	⿰女賣
嬼	⿰女劉
嬽	⿰女𡚇
嬿	⿰女燕
孂	⿰女簋
孄	⿰女闌
孆	⿰女嬰
孇	⿰女雙
孈	⿰女巂
孉	⿰女雚
孊	⿰女靡
孍	⿰女嚴
孎	⿰女屬
孏	⿰女蘭
孓	⿻了㇏
孙	⿰子小
孠	⿱司子
孡	⿰子台
孢	⿰子包
孧	⿱幼子
孪	⿱𰁜子
孬	⿱不好
孭	⿰子貝
孲	⿰子亞
孴	⿱孨日
孶	⿱茲子
孷	⿸𠩺子
孹	⿱辟子
孻	⿰子盡
宂	⿱宀几
宒	⿱宀毛
实	⿱宀头
宠	⿱宀龙
审	⿱宀申
宧	⿱宀𦣞
宪	⿱宀先
宫	⿱宀吕
宻	⿳宀⿻又丷山
宽	⿱宀苋
宾	⿱宀兵
寈	⿱宀青
寊	⿱宀貞
寋	⿱𡨄㔾
寑	⿱宀侵
寕	⿳宀丆𦉬
寜	⿱寍亅
寣	⿱宀𪺞
寪	⿱宀爲
寭	⿱宀惠
寲	⿱宀疑
寷	⿱宀豐
对	⿰又寸
寻	⿱𫜹寸
导	⿱巳寸
尀	⿰叵寸
尐	⿱𡭔㇝
尔	⿱⿰㇒乛小
尕	⿱乃小
尘	⿱𡭔土
尙	⿱𡭔冋
尛	⿱𡭔⿰小小
尜	⿱尖小
尝	⿱龸云
尡	⿰光昆
尥	⿺尢勺
尧	⿱𭠍兀
尪	⿺尢王
尯	⿺尢危
尳	⿺尢骨
尴	⿺尢监
尷	⿺尢監
层	⿸尸云
屃	⿸尸贝
屄	⿸尸穴
屇	⿸尸田
屉	⿸尸世
屌	⿸尸吊
屒	⿸尸辰
屔	⿰丘尼
屖	⿸尸辛
屗	⿺尾寸
屘	⿺尾子
屝	⿸尸非
屦	⿸尸⿰彳娄
屪	⿸尸寮
屫	⿸尸⿰爿喬
屲	⿱㇒山
屳	⿱入山
屷	⿰山乃
屸	⿰山工
屾	⿰山山
屿	⿰山与
岀	⿱山山
岁	⿱山夕
岂	⿱山己
岃	⿱山刃
